CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 541.292969 1784813034.2597
MEM 542.292969 1784813034.3599
MEM 542.792969 1784813034.4603
MEM 542.792969 1784813034.5607
MEM 542.917969 1784813034.6610
MEM 543.324219 1784813034.7613
MEM 543.761719 1784813034.8616
MEM 544.234375 1784813034.9619
MEM 544.570312 1784813035.0622
MEM 544.976562 1784813035.1625
MEM 545.601562 1784813035.2628
MEM 546.226562 1784813035.3633
MEM 546.851562 1784813035.4636
MEM 546.976562 1784813035.5639
MEM 547.195312 1784813035.6643
MEM 547.476562 1784813035.7645
MEM 547.792969 1784813035.8649
MEM 548.292969 1784813035.9652
MEM 548.660156 1784813036.0655
MEM 548.839844 1784813036.1658
MEM 549.910156 1784813036.2661
MEM 550.410156 1784813036.3664
MEM 550.660156 1784813036.4667
MEM 551.003906 1784813036.5669
MEM 551.160156 1784813036.6672
MEM 551.660156 1784813036.7675
MEM 551.785156 1784813036.8679
MEM 552.160156 1784813036.9682
MEM 552.585938 1784813037.0684
MEM 552.968750 1784813037.1687
MEM 553.593750 1784813037.2691
MEM 554.000000 1784813037.3694
MEM 554.156250 1784813037.4697
MEM 554.644531 1784813037.5701
MEM 554.812500 1784813037.6705
MEM 555.304688 1784813037.7708
MEM 555.750000 1784813037.8711
MEM 556.093750 1784813037.9714
MEM 557.000000 1784813038.0717
MEM 557.230469 1784813038.1720
MEM 557.500000 1784813038.2723
MEM 558.074219 1784813038.3726
MEM 558.437500 1784813038.4729
MEM 558.968750 1784813038.5732
MEM 559.468750 1784813038.6734
MEM 559.875000 1784813038.7740
MEM 560.125000 1784813038.8745
MEM 560.593750 1784813038.9748
MEM 560.812500 1784813039.0750
MEM 561.437500 1784813039.1753
MEM 561.468750 1784813039.2756
MEM 562.156250 1784813039.3759
MEM 563.437500 1784813039.4762
MEM 563.437500 1784813039.5765
MEM 563.789062 1784813039.6768
MEM 564.171875 1784813039.7771
MEM 564.546875 1784813039.8774
MEM 565.296875 1784813039.9777
MEM 565.671875 1784813040.0779
MEM 566.171875 1784813040.1783
MEM 566.234375 1784813040.2785
MEM 566.757812 1784813040.3788
MEM 567.105469 1784813040.4791
MEM 567.667969 1784813040.5794
MEM 567.917969 1784813040.6797
MEM 568.113281 1784813040.7800
MEM 568.425781 1784813040.8803
MEM 568.917969 1784813040.9806
MEM 570.042969 1784813041.0809
MEM 570.058594 1784813041.1812
MEM 570.527344 1784813041.2815
MEM 570.765625 1784813041.3818
MEM 571.078125 1784813041.4821
MEM 571.429688 1784813041.5823
MEM 571.855469 1784813041.6826
MEM 572.128906 1784813041.7830
MEM 572.597656 1784813041.8833
MEM 572.894531 1784813041.9836
MEM 573.394531 1784813042.0840
MEM 573.558594 1784813042.1843
MEM 573.996094 1784813042.2846
MEM 574.328125 1784813042.3850
MEM 574.859375 1784813042.4853
MEM 575.140625 1784813042.5857
MEM 575.546875 1784813042.6861
MEM 576.050781 1784813042.7865
MEM 576.617188 1784813042.8868
MEM 576.953125 1784813042.9871
MEM 577.312500 1784813043.0874
MEM 577.750000 1784813043.1877
MEM 578.281250 1784813043.2880
MEM 579.062500 1784813043.3886
MEM 579.468750 1784813043.4889
MEM 579.781250 1784813043.5892
MEM 580.238281 1784813043.6894
MEM 580.761719 1784813043.7898
MEM 581.261719 1784813043.8903
MEM 581.417969 1784813043.9906
MEM 581.746094 1784813044.0909
MEM 582.464844 1784813044.1912
MEM 582.777344 1784813044.2915
MEM 583.250000 1784813044.3918
MEM 583.375000 1784813044.4921
MEM 583.468750 1784813044.5924
MEM 583.691406 1784813044.6927
MEM 584.082031 1784813044.7930
MEM 584.457031 1784813044.8933
MEM 584.921875 1784813044.9936
MEM 585.523438 1784813045.0939
MEM 586.054688 1784813045.1942
MEM 586.273438 1784813045.2945
MEM 586.558594 1784813045.3948
MEM 587.183594 1784813045.4950
MEM 587.531250 1784813045.5953
MEM 588.031250 1784813045.6956
MEM 588.453125 1784813045.7959
MEM 588.703125 1784813045.8962
MEM 589.171875 1784813045.9965
MEM 589.410156 1784813046.0968
MEM 589.886719 1784813046.1971
MEM 590.156250 1784813046.2974
MEM 590.593750 1784813046.3977
MEM 591.015625 1784813046.4980
MEM 591.062500 1784813046.5984
MEM 591.527344 1784813046.6987
MEM 592.007812 1784813046.7990
MEM 592.695312 1784813046.8993
MEM 593.070312 1784813046.9996
MEM 593.296875 1784813047.0999
MEM 593.984375 1784813047.2002
MEM 594.554688 1784813047.3005
MEM 594.835938 1784813047.4008
MEM 595.296875 1784813047.5011
MEM 595.683594 1784813047.6014
MEM 596.011719 1784813047.7017
MEM 596.285156 1784813047.8020
MEM 596.578125 1784813047.9023
MEM 596.960938 1784813048.0026
MEM 597.386719 1784813048.1029
MEM 598.054688 1784813048.2033
MEM 598.515625 1784813048.3036
MEM 598.660156 1784813048.4040
MEM 598.988281 1784813048.5043
MEM 599.316406 1784813048.6046
MEM 599.730469 1784813048.7049
MEM 600.035156 1784813048.8052
MEM 600.582031 1784813048.9055
MEM 600.964844 1784813049.0067
